INFO 2025-12-16 10:44:33,177 autoreload 19056 20440 Watching for file changes with StatReloader
DEBUG 2025-12-16 10:44:33,179 autoreload 19056 20440 Waiting for apps ready_event.
DEBUG 2025-12-16 10:44:33,290 autoreload 19056 20440 Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-12-16 10:44:33,303 autoreload 19056 20440 Watching dir C:\Users\amans\Desktop\HMS\backend\venv\lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2025-12-16 10:44:33,304 autoreload 19056 20440 Watching dir C:\Users\amans\Desktop\HMS\backend\hospital_project\locale with glob **/*.mo.
DEBUG 2025-12-16 10:44:33,305 autoreload 19056 20440 Watching dir C:\Users\amans\Desktop\HMS\backend\venv\lib\site-packages\corsheaders\locale with glob **/*.mo.
DEBUG 2025-12-16 10:44:33,305 autoreload 19056 20440 Watching dir C:\Users\amans\Desktop\HMS\backend\venv\lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2025-12-16 10:44:33,306 autoreload 19056 20440 Watching dir C:\Users\amans\Desktop\HMS\backend\venv\lib\site-packages\rest_framework_simplejwt\locale with glob **/*.mo.
DEBUG 2025-12-16 10:44:33,306 autoreload 19056 20440 Watching dir C:\Users\amans\Desktop\HMS\backend\venv\lib\site-packages\rest_framework_simplejwt\token_blacklist\locale with glob **/*.mo.
DEBUG 2025-12-16 10:44:33,307 autoreload 19056 20440 Watching dir C:\Users\amans\Desktop\HMS\backend\hospital_project\users\locale with glob **/*.mo.
DEBUG 2025-12-16 10:44:33,307 autoreload 19056 20440 Watching dir C:\Users\amans\Desktop\HMS\backend\hospital_project\admin_module\locale with glob **/*.mo.
DEBUG 2025-12-16 10:44:33,308 autoreload 19056 20440 Watching dir C:\Users\amans\Desktop\HMS\backend\hospital_project\doctor_module\locale with glob **/*.mo.
DEBUG 2025-12-16 10:44:33,308 autoreload 19056 20440 Watching dir C:\Users\amans\Desktop\HMS\backend\hospital_project\patient_module\locale with glob **/*.mo.
DEBUG 2025-12-16 10:44:33,309 autoreload 19056 20440 Watching dir C:\Users\amans\Desktop\HMS\backend\hospital_project\appointment_module\locale with glob **/*.mo.
DEBUG 2025-12-16 10:44:33,608 utils 19056 11572 (0.000) 
            SELECT
                c.relname,
                CASE
                    WHEN c.relispartition THEN 'p'
                    WHEN c.relkind IN ('m', 'v') THEN 'v'
                    ELSE 't'
                END,
                obj_description(c.oid, 'pg_class')
            FROM pg_catalog.pg_class c
            LEFT JOIN pg_catalog.pg_namespace n ON n.oid = c.relnamespace
            WHERE c.relkind IN ('f', 'm', 'p', 'r', 'v')
                AND n.nspname NOT IN ('pg_catalog', 'pg_toast')
                AND pg_catalog.pg_table_is_visible(c.oid)
        ; args=None; alias=default
DEBUG 2025-12-16 10:44:33,611 utils 19056 11572 (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2025-12-16 10:44:33,740 autoreload 19056 20440 File C:\Users\amans\AppData\Local\Programs\Python\Python310\Lib\asyncio\base_events.py first seen with mtime 1633354924.0
DEBUG 2025-12-16 10:44:33,740 autoreload 19056 20440 File C:\Users\amans\Desktop\HMS\Backend\venv\Lib\site-packages\rest_framework\relations.py first seen with mtime 1765024432.0310397
DEBUG 2025-12-16 10:44:33,741 autoreload 19056 20440 File C:\Users\amans\Desktop\HMS\Backend\venv\Lib\site-packages\django\db\models\fields\tuple_lookups.py first seen with mtime 1764595420.453399
DEBUG 2025-12-16 10:44:33,741 autoreload 19056 20440 File C:\Users\amans\AppData\Local\Programs\Python\Python310\Lib\random.py first seen with mtime 1633354924.0
DEBUG 2025-12-16 10:44:33,742 autoreload 19056 20440 File C:\Users\amans\AppData\Local\Programs\Python\Python310\Lib\bisect.py first seen with mtime 1633354924.0
DEBUG 2025-12-16 10:44:33,742 autoreload 19056 20440 File C:\Users\amans\AppData\Local\Programs\Python\Python310\Lib\operator.py first seen with mtime 1633354924.0
DEBUG 2025-12-16 10:44:33,743 autoreload 19056 20440 File C:\Users\amans\Desktop\HMS\Backend\venv\Lib\site-packages\rest_framework\request.py first seen with mtime 1765024432.034369
DEBUG 2025-12-16 10:44:33,743 autoreload 19056 20440 File C:\Users\amans\Desktop\HMS\Backend\venv\Lib\site-packages\django\contrib\auth\hashers.py first seen with mtime 1764595414.48835
DEBUG 2025-12-16 10:44:33,744 autoreload 19056 20440 File C:\Users\amans\Desktop\HMS\Backend\venv\Lib\site-packages\django\core\files\uploadhandler.py first seen with mtime 1764595420.1943233
DEBUG 2025-12-16 10:44:33,744 autoreload 19056 20440 File C:\Users\amans\Desktop\HMS\Backend\venv\Lib\site-packages\rest_framework\negotiation.py first seen with mtime 1765024432.0247352
DEBUG 2025-12-16 10:44:33,744 autoreload 19056 20440 File C:\Users\amans\Desktop\HMS\Backend\venv\Lib\site-packages\sqlparse\filters\output.py first seen with mtime 1764595407.804406
DEBUG 2025-12-16 10:44:33,745 autoreload 19056 20440 File C:\Users\amans\AppData\Local\Programs\Python\Python310\Lib\concurrent\futures\_base.py first seen with mtime 1633354924.0
DEBUG 2025-12-16 10:44:33,745 autoreload 19056 20440 File C:\Users\amans\Desktop\HMS\Backend\venv\Lib\site-packages\django\db\models\fields\related_descriptors.py first seen with mtime 1764595420.4493902
DEBUG 2025-12-16 10:44:33,746 autoreload 19056 20440 File C:\Users\amans\Desktop\HMS\Backend\venv\Lib\site-packages\rest_framework_simplejwt\tokens.py first seen with mtime 1765030487.6685557
DEBUG 2025-12-16 10:44:33,746 autoreload 19056 20440 File C:\Users\amans\AppData\Local\Programs\Python\Python310\Lib\getpass.py first seen with mtime 1633354924.0
